id,viewCount,likeCount,commentCount,concertType,artist,concertNumber,age,accessDate,durationSeconds,durationMinutes,caption,artistFollower,month,year,season
1D-QXrC3U0I,642712,19834,611,H,Amber Mark,1,1222,2025-07-21,997,16.62,false,257000,1,2022,winter
kjJnal0XtN8,297574,13445,684,N,Ambré,1,717,2025-07-21,1105,18.42,false,45700,6,2023,summer
XjCGI4Sgb7k,878206,20171,772,N,American Football,1,2153,2025-07-21,1097,18.28,false,42100,7,2019,summer
l0MqlDbZ_as,8569417,171162,3871,N,Aminé,1,2754,2025-07-21,759,12.65,false,1960000,11,2017,autumn
j0uhEHIU6Sk,156433,3010,340,N,Among Authors,1,2121,2025-07-21,1338,22.3,false,393,8,2019,summer
DcnMDkX1PZg,239550,5174,213,N,Amy Grant,1,2363,2025-07-21,781,13.02,false,247000,12,2018,winter
jsCO_M0Nnwk,191881,5264,223,N,Ana Tijoux,1,5394,2025-07-21,595,9.92,false,120000,8,2010,summer
5G6q__7jQoU,838926,36237,1954,N,Ana Tijoux,2,380,2025-07-21,1238,20.63,true,120000,5,2024,spring
Shr47LVcA5I,682764,7735,414,N,Anais Mitchell,1,4564,2025-07-21,954,15.9,false,10700,12,2012,winter
vhfsae_nv-4,104025,4227,226,H,Anat Cohen and Marcello Gonçalves,1,1738,2025-07-21,893,14.88,false,7020,9,2020,autumn
qM1Mtz35bmU,188658,2436,160,N,And The Kids,1,3629,2025-07-21,868,14.47,false,644,6,2015,summer
ferZnZ0_rSM,116381983,1113722,26689,N,Anderson .Paak & The Free Nationals,1,3210,2025-07-21,938,15.63,false,874000,8,2016,summer
W3MaEAhXESs,1238206,22762,787,N,Andra Day,1,3524,2025-07-21,799,13.32,false,1e+06,10,2015,autumn
HN4Mk3LWWC4,113645,2040,114,N,Andrea Cruz,1,2256,2025-07-21,911,15.18,false,2140,4,2019,spring
QGAzPtwUJJU,5633354,73189,2072,N,Andrew Bird,1,3293,2025-07-21,884,14.73,false,111000,5,2016,spring
WVfbIWC7wmE,937775,23734,700,N,Andrew Bird and Iron & Wine,1,1029,2025-07-21,1017,16.95,false,111000,8,2022,summer
JsaqhRkKu1M,110263,1668,67,N,Andrew Combs,1,815,2025-07-21,964,16.07,false,465,3,2023,spring
6k7_B07IyCA,152855,2390,207,S,Andrew W.K.,1,1931,2025-07-21,1252,20.87,false,101000,2,2020,winter
QcGs8rBynL0,995431,22769,813,N,Andy Shauf,1,3304,2025-07-21,689,11.48,false,12700,5,2016,spring
UaTONcmNotI,240553,3361,129,N,Ane Brun,1,3353,2025-07-21,878,14.63,false,98000,4,2016,spring
G7NapIZ1xGE,2234793,28490,1275,N,Angel Olsen,1,4148,2025-07-21,1369,22.82,false,84000,1,2014,winter
4RL4mk38wwI,394900,11659,353,H,Angel Olsen,2,1703,2025-07-21,967,16.12,false,84200,10,2020,autumn
JQTM86SZW2g,244714,3787,208,N,Angelica Garcia,1,1872,2025-07-21,737,12.28,false,5700,4,2020,spring
7rzGNL28Js0,325926,13186,589,N,Angélique Kidjo,1,998,2025-07-21,1226,20.43,false,232000,9,2022,autumn
T7xWl50pKyo,392038,6108,466,N,Ani DiFranco,1,2760,2025-07-21,1183,19.72,false,20000,11,2017,autumn
iFS4_4Ji_-E,293904,7901,575,H,Ani DiFranco,2,1488,2025-07-21,929,15.48,false,20300,5,2021,spring
JvIllmsp1J4,288130,6699,453,H,Animal Collective,1,1060,2025-07-21,946,15.77,false,83800,7,2022,summer
mA3Qw3KiEtk,168973,3131,109,N,Anna & Elizabeth,1,3651,2025-07-21,949,15.82,false,1900,6,2015,summer
6uMyPRYjIYw,125467,2340,134,H,Anna B Savage,1,1409,2025-07-21,920,15.33,false,4110,7,2021,summer
EScw2XrUHFY,498042,4741,274,N,Anna Calvi,1,4874,2025-07-21,548,9.13,false,33400,2,2012,winter
36FNJiP8GWk,260047,4793,400,N,Anna Meredith,1,2646,2025-07-21,1145,19.08,false,6930,3,2018,spring
6bALUVyGZh0,167405,3310,196,N,Anna Tivel,1,746,2025-07-21,1258,20.97,false,1780,5,2023,spring
bRq66Rtwms0,359116,12490,431,N,Anne Akiko Meyers,1,638,2025-07-21,1131,18.85,false,1700,9,2023,autumn
RWQChDfEJpI,118890,1680,26,N,Anonymous 4 With Bruce Molsky,1,3721,2025-07-21,835,13.92,false,6600,3,2015,spring
oi0uBhX9fxI,123531,2656,189,N,Another Sky,1,1941,2025-07-21,733,12.22,false,5230,2,2020,winter
LiGTTICtewQ,179743,1788,44,N,Anthony D'Amato,1,3881,2025-07-21,760,12.67,false,1160,10,2014,autumn
C3lcprigQ0E,18535708,203489,7849,N,Anthony Hamilton,1,3357,2025-07-21,1228,20.47,false,889000,3,2016,spring
ZLqXimltxsg,104332,1512,176,N,Anthony Roth Costanzo,1,2443,2025-07-21,1045,17.42,false,2960,9,2018,autumn
qX9WE9-Pt2U,84123,1812,154,H,Anthony Roth Costanzo and Justin Vivian Bond,1,1207,2025-07-21,859,14.32,false,2980,2,2022,winter
IIlgjOCxhLQ,186657,2288,101,N,Antibalas,1,4616,2025-07-21,887,14.78,false,4590,10,2012,autumn
3WocuIycshM,164678,5596,139,N,Antonio Lizana,1,2954,2025-07-21,1076,17.93,false,3190,5,2017,spring
Qafq8drD_L4,186859,4403,208,N,Antonio Sánchez & Bad Hombre,1,827,2025-07-21,1557,25.95,true,40700,3,2023,spring
HJDx_8PIqxk,135211,3011,157,H,Aoife O'Donovan,1,1124,2025-07-21,1083,18.05,false,15800,5,2022,spring
7c_KKh1rmso,51397,571,20,N,Arborea,1,4764,2025-07-21,959,15.98,false,593,5,2012,spring
D7Ti9DRLZEU,5567531,114987,4520,N,Ari Lennox,1,2074,2025-07-21,900,15,false,719000,10,2019,autumn
wdYEZGchdiA,365627,16297,421,H,Arlo Parks,1,1725,2025-07-21,1007,16.78,false,99200,9,2020,autumn
1acyepjN0OE,505147,14334,414,N,Arlo Parks,2,583,2025-07-21,1115,18.58,false,98800,11,2023,autumn
ZUYJ8_tBSSQ,784810,23815,792,H,Arooj Aftab,1,1276,2025-07-21,1334,22.23,false,101000,12,2021,winter
z6QNNxCf-3s,212300,4608,161,N,"Arooj Aftab, Vijay Iyer, Shahzad Ismaily",1,756,2025-07-21,1034,17.23,false,105240,5,2023,spring
4iEgxnmXkUU,190617,3431,214,N,Arthur Moon,1,1897,2025-07-21,774,12.9,false,933,3,2020,spring
Kf_Lolpumi4,210309,2098,135,N,Artist not Found!,1,5835,2025-07-21,997,16.62,false,3140,6,2009,summer
6PNFkWfZDR8,112171,774,49,N,Artist not Found!,1,5205,2025-07-21,1027,17.12,false,813,3,2011,spring
rsMLQVRS3ho,294993,3777,137,N,Artist not Found!,1,4974,2025-07-21,802,13.37,false,1280,10,2011,autumn
5uRrc0s66M0,34905,469,15,S,Artist not Found!,1,3839,2025-07-21,16,0.27,false,1,12,2014,winter
agn1WrDnHfA,27090,759,13,N,Artist not Found!,1,3811,2025-07-21,48,0.8,false,1,12,2014,winter
ViFCeXpe9jY,16280,1215,9,N,Artist not Found!,1,3803,2025-07-21,40,0.67,false,1,1,2015,winter
laqIQ-GTUWM,33492,263,20,N,Artist not Found!,1,3796,2025-07-21,62,1.03,false,684,1,2015,winter
74MthcBUulI,19507,202,12,N,Artist not Found!,1,3795,2025-07-21,61,1.02,false,1,1,2015,winter
osf1gckzf70,1377147,37773,747,N,Artist not Found!,1,3493,2025-07-21,1019,16.98,false,1430,11,2015,autumn
20XhDSMmalA,208838,3516,139,N,Artist not Found!,1,3483,2025-07-21,843,14.05,false,12700,11,2015,autumn
Jasbbgybmr4,60944,3908,256,N,Artist not Found!,1,993,2025-07-21,230,3.83,false,1,9,2022,autumn
UhMRD7lw5zs,86516,1610,23,N,Arturo O'Farrill,1,4280,2025-07-21,1241,20.68,false,3460,9,2013,autumn
JRVDNBCdMFM,357053,5582,196,N,Asaf Avidan,1,4112,2025-07-21,787,13.12,false,319000,3,2014,spring
1sddHHMsGTE,47206,1172,109,H,Ashley McBryde,1,1849,2025-07-21,1140,19,false,256000,5,2020,spring
xoMzPhYYIsM,150588,2388,81,N,Ashley Monroe,1,4230,2025-07-21,820,13.67,false,43300,11,2013,autumn
ujDMZENuwwE,44826,721,55,H,Ashley Ray,1,1638,2025-07-21,783,13.05,false,347,12,2020,winter
CXgO7xI7ElQ,81458,1052,49,N,Attacca Quartet,1,3115,2025-07-21,1063,17.72,false,4870,11,2016,autumn
U0vBoAbZZy0,493097,17716,688,N,Audrey Nuna,1,231,2025-07-21,1121,18.68,false,245000,10,2024,autumn
y5p8Bmv0NSQ,5046471,68907,3768,N,"August Greene (Common, Robert Glasper, Karriem Riggins)",1,2655,2025-07-21,2213,36.88,false,760730,2,2018,winter
UGjWvL92_1s,160542,3902,218,N,Augustin Hadelich,1,1845,2025-07-21,828,13.8,false,114000,5,2020,spring
iNqkT54EDBM,263521,4745,385,N,Aurelio Martinez,1,3741,2025-07-21,1115,18.58,false,4810,3,2015,spring
evBgLWQwAFA,8389645,203567,6723,N,Aurora,1,3497,2025-07-21,801,13.35,false,6190000,11,2015,autumn
_1gUaOyE2dA,72607,1270,53,S,Australian Chamber Orchestra,1,1896,2025-07-21,1031,17.18,false,10700,3,2020,spring
xNEhfztkCdc,775923,23430,816,N,Avery*Sunshine,1,2951,2025-07-21,1029,17.15,false,33100,5,2017,spring
S19Q4e4Q4Kk,155489,1760,74,N,Avi Avital,1,4622,2025-07-21,665,11.08,false,14200,10,2012,autumn
Ap4DtvUu7Bk,4133106,82193,2007,N,BADBADNOTGOOD,1,3049,2025-07-21,1289,21.48,false,197000,1,2017,winter
Uz5Kgcjiasc,96634,6249,234,H,BEAM,1,1806,2025-07-21,691,11.52,false,8490000,6,2020,summer
omjtMhXWobw,942956,27910,1324,N,BJ The Chicago Kid,1,2032,2025-07-21,1036,17.27,false,154000,11,2019,autumn
_pvzTlmSK0s,318864,8514,351,N,BLK ODYSSY,1,498,2025-07-21,1104,18.4,false,18100,1,2024,winter
gFYAXsa7pe8,64800865,2808086,181722,H,BTS,1,1719,2025-07-21,847,14.12,true,8.1e+07,9,2020,autumn
5iFfh0H9iUM,334436,11000,803,N,Baby Rose,1,1936,2025-07-21,1093,18.22,false,29200,2,2020,winter
zdD3UsAemq0,79362,3443,267,H,Baby Rose,2,1822,2025-07-21,704,11.73,false,29500,6,2020,summer
3eHc0Xz_Hio,8905548,196661,14966,N,Babyface,1,728,2025-07-21,1783,29.72,false,496000,6,2023,summer
ouuPSxE1hK4,12824743,517883,20773,N,Bad Bunny,1,60,2025-07-21,2022,33.7,true,50300000,4,2025,spring
QtiTfejYpgs,643173,16710,423,N,Ballake Sissoko And Vincent Segal,1,5253,2025-07-21,1039,17.32,false,6509,1,2011,winter
YZ2iWUyT_DI,147934,2500,280,N,Balún,1,1978,2025-07-21,984,16.4,false,30800,1,2020,winter
AbwPwWqA-QQ,2421752,33783,1386,N,Banks,1,3867,2025-07-21,821,13.68,false,496000,11,2014,autumn
jKkb2q9EbSg,135816,3608,146,N,Barbara Hannigan,1,2681,2025-07-21,1007,16.78,false,4310,2,2018,winter
P6H3jeut9jw,59428,958,36,N,Barry Douglas,1,3290,2025-07-21,778,12.97,false,416,6,2016,summer
8xoYo-rU_Xs,155955,3961,160,H,Bartees Strange,1,1565,2025-07-21,874,14.57,false,5760,2,2021,winter
DvxN2LXqPfc,117112,4113,192,N,Bartees Strange,2,108,2025-07-21,1111,18.52,false,5720,2,2025,winter
m0bOq-sm-m8,1126623,29029,1263,N,Bas,1,2130,2025-07-21,850,14.17,false,471000,8,2019,summer
wh-FnjWFTJQ,74970,1538,91,S,Basia Bulat,1,1727,2025-07-21,912,15.2,false,3390,9,2020,autumn
gkYnVE5jsAo,314871,5230,321,N,Baths,1,4293,2025-07-21,1161,19.35,false,10600,9,2013,autumn
QNtlNvR-5_o,351931,11473,605,N,Be More Chill,1,2160,2025-07-21,1246,20.77,false,33200,7,2019,summer
FA1TsteS7z0,204631,1750,135,N,Beach Slang,1,3710,2025-07-21,839,13.98,false,1540,4,2015,spring
Q-AJMUh2_Ug,87441,881,113,N,Beauty Pill,1,3514,2025-07-21,908,15.13,false,586,10,2015,autumn
uEK-6cHmmZI,244764,7498,537,H,Bebel Gilberto,1,1695,2025-07-21,798,13.3,false,15200,10,2020,autumn
V7swrM4dfuo,50960,2515,140,H,Becca Mancari,1,1760,2025-07-21,959,15.98,false,2520,8,2020,summer
FftvVi42U4o,2039102,46162,1748,N,Becky G,1,602,2025-07-21,1262,21.03,true,22300000,10,2023,autumn
XoRFGTt9B20,83164,2108,81,H,Bedouin Burger,1,1226,2025-07-21,942,15.7,true,22000,1,2022,winter
DDu4jk2_R_k,221335,5912,217,N,Bedouine,1,2587,2025-07-21,726,12.1,false,7500,5,2018,spring
Z0UISCEe52Y,4105390,39332,1144,N,Beirut,1,5006,2025-07-21,708,11.8,false,125000,9,2011,autumn
BfNlkqX7hlc,214666,3552,171,N,Bela Fleck And Abigail Washburn,1,2576,2025-07-21,1255,20.92,false,2030,5,2018,spring
X7Z0QEVfR8c,223767,6254,260,S,"Bela Fleck, Edgar Meyer, Zakir Hussain",1,1783,2025-07-21,871,14.52,false,5090,7,2020,summer
NWEqYj3OOoo,464851,9708,412,N,Belle and Sebastian,1,1064,2025-07-21,1046,17.43,false,63500,7,2022,summer
6e3bV26nRF0,112272,2990,156,N,Bellows,1,3679,2025-07-21,592,9.87,false,1,5,2015,spring
VNMms_zGbnI,1869194,20918,843,N,Ben Folds,1,3398,2025-07-21,1382,23.03,false,89500,2,2016,winter
wMj-Ai9NOjY,584868,4835,252,N,Ben Gibbard,1,4575,2025-07-21,748,12.47,false,2500,11,2012,autumn
HXGyYeG4eRc,115625,2806,151,H,Ben Gibbard,2,1889,2025-07-21,749,12.48,false,302000,4,2020,spring
5VHlrsZbgBI,1310284,28565,1426,H,Ben Howard,1,1397,2025-07-21,1113,18.55,false,451000,8,2021,summer
xf29sAchQAw,198548,2181,83,N,Ben Sollee,1,5072,2025-07-21,794,13.23,false,3340,7,2011,summer
I48camns7KY,297072,8386,337,N,Benjamin Booker,1,2751,2025-07-21,708,11.8,false,13600,11,2017,autumn
00yQGeJ6AOM,2619394,60345,2393,N,Benjamin Clementine,1,3336,2025-07-21,1109,18.48,false,179000,4,2016,spring
3sjttfJagIs,43410,490,34,N,Benjy Ferree,1,5842,2025-07-21,1212,20.2,false,166,6,2009,summer
9jVn_JCjpT4,246852,4738,145,N,Benny Sings,1,3430,2025-07-21,485,8.08,false,25000,1,2016,winter
m4vnYGgoYBQ,332164,14026,410,H,Benny Sings,2,1788,2025-07-21,667,11.12,false,25200,7,2020,summer
rbEmFl1CN5U,311782,17157,1043,H,Benny The Butcher,1,1813,2025-07-21,821,13.68,false,444000,6,2020,summer
h2YdwoZpVgE,162360,5711,257,N,Berhana,1,478,2025-07-21,1118,18.63,false,37000,2,2024,winter
UPQsEoYHekg,125325,2270,133,N,Bernie And The Believers Feat. Essence,1,2391,2025-07-21,1436,23.93,false,65,11,2018,autumn
G_-DftINZKg,278998,11536,556,N,Beth Gibbons,1,25,2025-07-21,1199,19.98,false,31100,5,2025,spring
hZ2lMzQf19U,159508,1536,98,N,Beth Orton,1,4623,2025-07-21,995,16.58,false,15700,10,2012,autumn
W8SnRPbiGH8,262481,10504,885,N,Betsayda Machado y Parranda El Clavo,1,2660,2025-07-21,839,13.98,false,751,2,2018,winter
j1Yz-NyLV90,1039074,20580,741,N,Better Oblivion Community Center,1,2229,2025-07-21,696,11.6,false,532,4,2019,spring
3AaXv14akQc,531285,10953,512,N,Betty Who,1,2165,2025-07-21,1161,19.35,false,135000,7,2019,summer
k4YOIEg7U-c,56994,3237,95,S,Bettye Lavette,1,1832,2025-07-21,1092,18.2,false,7200,5,2020,spring
BdmgKq4Mw48,3368597,52287,1911,N,Big Boi,1,2426,2025-07-21,775,12.92,false,233000,10,2018,autumn
p8Uw1cl4xjg,5604104,98274,5373,N,Big Daddy Kane,1,2657,2025-07-21,1143,19.05,false,45400,2,2018,winter
_8xj2qp6yls,1613747,41699,2361,N,Big K.R.I.T.,1,2643,2025-07-21,979,16.32,false,404000,3,2018,spring
tPgSPOykA0M,2645206,96003,7169,N,Big Sean,1,436,2025-07-21,1543,25.72,false,4470000,3,2024,spring
D0E5vMkDfOI,4519290,55238,1826,N,Big Thief,1,3195,2025-07-21,564,9.4,false,110000,9,2016,autumn
TCsFgJsJ5Uc,882592,19284,575,H,Big Thief,2,1052,2025-07-21,1088,18.13,false,115000,7,2022,summer
pePbXflDyRM,550411,23489,2735,N,Bilal,1,136,2025-07-21,1221,20.35,false,16700,1,2025,winter
MHVNUrcyJy8,795531,7414,399,N,Bill Callahan,1,5800,2025-07-21,979,16.32,false,10900,7,2009,summer
9EBGxX5je0E,221858,5520,227,H,Bill Callahan,2,1731,2025-07-21,1123,18.72,false,11100,9,2020,autumn
NO-1Euq2RBk,898876,12481,691,N,Bill Frisell,1,4870,2025-07-21,1200,20,false,23500,2,2012,winter
Tu_PRf1tyjI,137916,3127,286,N,Bill Orcutt Guitar Quartet,1,772,2025-07-21,744,12.4,false,528,4,2023,spring
4sZ2_aGsLKU,16791533,479277,13465,H,Billie Eilish,1,1745,2025-07-21,602,10.03,false,56300000,8,2020,summer
fOAIrUZbOwo,21728395,686801,16923,N,Billie Eilish,2,176,2025-07-21,1339,22.32,false,5.6e+07,12,2024,winter
q2OnQR6VMwU,363290,3462,246,N,Billy Bragg,1,4371,2025-07-21,1283,21.38,false,37400,6,2013,summer
oE9T-ubu45Y,118169,1191,58,N,Billy Bragg & Joe Henry,1,3147,2025-07-21,782,13.03,false,38930,10,2016,autumn
oaSN_bHjyIw,2191292,40341,2031,N,Billy Corgan,1,2748,2025-07-21,732,12.2,false,120000,11,2017,autumn
n_4EMO8e-1Y,134923,1496,60,N,Bio Ritmo,1,3903,2025-07-21,1169,19.48,false,19800,9,2014,autumn
npORmybcPdk,1074820,30249,1625,H,Black Coffee,1,1548,2025-07-21,1192,19.87,false,310000,3,2021,spring
86N4lNuVz_8,330508,2715,177,N,Black Dub,1,5324,2025-07-21,1086,18.1,false,383,11,2010,autumn
plMNAPdAyPY,508301,20935,1649,H,Black Motion,1,1429,2025-07-21,1295,21.58,false,75800,7,2021,summer
0mzjL5147i4,86469,1101,66,N,Black Prairie,1,4523,2025-07-21,690,11.5,false,234,1,2013,winter
TKfRm6uNx7I,7701508,98015,2262,H,Black Pumas,1,1642,2025-07-21,1383,23.05,false,889000,12,2020,winter
u12r_JI8mGM,690632,31202,2176,H,Black Thought of The Roots,1,1884,2025-07-21,1034,17.23,false,1,4,2020,spring
Qd2Zcj1flw8,377956,8369,439,N,Black Uhuru,1,2009,2025-07-21,946,15.77,false,37500,12,2019,winter
QCtkkX2f18M,1474090,26005,708,N,Bleachers,1,2817,2025-07-21,911,15.18,false,231000,9,2017,autumn
vvgTV5NEpu4,422254,9578,341,H,Bleachers,2,1425,2025-07-21,761,12.68,false,232000,7,2021,summer
xIZR52eKgUA,274792,3582,149,N,Blind Pilot,1,3143,2025-07-21,1045,17.42,false,10700,10,2016,autumn
0wZpheK98Gc,1031433,31148,956,N,Blood Orange,1,2314,2025-07-21,1191,19.85,false,149000,2,2019,winter
qTJfITfbYNA,11754831,162959,4639,N,Blue Man Group,1,3168,2025-07-21,796,13.27,false,985000,10,2016,autumn
MMS4JAy9z0Y,642652,23811,1437,N,Bob James,1,375,2025-07-21,1288,21.47,false,111000,5,2024,spring
