id,viewCount,likeCount,favoriteCount,commentCount
XDNyVy-wGuY,527184,22703,0,1619
xjVx3Wcoolo,344630,11895,0,441
zoAs0-nXPQM,307315,10287,0,421
v1VLZnBEw_M,675040,23967,0,1129
DYDLYlhvJho,261465,6696,0,660
Vrk2Q9AZrYI,5491050,192991,0,15301
MTiXwEHRoyM,19828,330,0,13
HSzoKlaD9Gs,1152801,68085,0,2972
Ov882wRp12Y,198247,6413,0,396
XBuOd2MzdT4,457721,19742,0,1618
W9r2i8EjFVw,841513,39235,0,3122
Gse1LKXuV2M,4853775,180723,0,15020
uRG6IWYVazM,404246,18611,0,1165
wrm0cN7bTOM,201347,6821,0,365
YleSYAEYdrg,5275574,146706,0,6286
XyHkoKwPtaw,3161066,107046,0,5357
_EibcUKjWjY,24672,346,0,8
sKHswNFsRww,1690684,50707,0,2118
MMS4JAy9z0Y,642652,23811,0,1437
y-PLr-BPxKU,5896465,180689,0,8780
LNFfrhXxJDQ,167656,3338,0,152
5G6q__7jQoU,838926,36237,0,1954
hdMcKy93AZk,111292,2733,0,157
49zIojl1CM4,122095,4310,0,228
tajoGudOj70,148451,4493,0,273
asZZrUFeM_8,337894,12975,0,648
wIfg-Ye0FVk,687193,28294,0,1556
z2nGMDs65tI,383348,8189,0,701
wAmxZhS7AlE,27695,412,0,22
DmC2QQESN6E,5105887,194863,0,12391
pHWum1ptOxs,680863,16381,0,831
vR6_ZVKEhJ4,17195671,305471,0,11138
TR2hG7ke2YQ,94532,1576,0,106
XZhELFzl9os,36586,951,0,51
HCFfpWRitXA,16555,207,0,10
qVh79v4nICo,141566,1957,0,158
bEyxy8S1MN8,180804,3885,0,214
ZYRwNwwFCSk,235180,7642,0,306
RyWGBoU6dc8,162505,3763,0,125
rGyQHyDMZZI,19839007,401359,0,14186
R2_7ADO2Hlo,301878,7230,0,294
EpnJcdZXAPQ,58556,583,0,54
3lwoczostI0,198253,6150,0,348
GR51MWK_o2M,994600,52174,0,7115
uA5hf_94Ffc,297538,8942,0,692
-n4BR0vUB80,384186,12556,0,526
tPgSPOykA0M,2645206,96003,0,7169
w4WiXKGCJhg,14339924,426543,0,12371
PxZhSNla0U8,131551,1660,0,90
qvXRRmZSjl8,54613,2590,0,47
cMIJsoaxRjk,20866415,443179,0,18186
V9h3pk2Nc0Q,219715,3267,0,324
Hv23IjnELeI,41168,902,0,105
MgTDLlDY_yY,2271560,69569,0,6406
TeNMzwoCWSc,224507,4647,0,212
K8gnt2Zc9aI,214266,5772,0,260
YKnifgh9dEQ,166692,2705,0,170
3prk1I5ged0,481162,25827,0,1547
BgQw-xNsQe8,115908,2296,0,147
c9vtuEH-vfk,2507867,64375,0,7062
1IJjriRrOKg,815043,30747,0,1479
h2YdwoZpVgE,162360,5711,0,257
yskw0JMXQaM,326066,11076,0,605
lqBEfjDRDHk,542062,14363,0,519
5Zw0K4SlqHQ,129307,4055,0,157
TGU0-1PBW54,109528,2159,0,104
-4J-f5lkCLo,3007563,98905,0,2514
4RcKtr5bGa4,997771,26883,0,918
_pvzTlmSK0s,318864,8514,0,351
fVRccRHfCxM,127362,2732,0,137
h3gwRr_54cE,846544,17604,0,502
l_P4UjbkSJk,221643,10109,0,508
zIYIn7yTtTo,139332,3416,0,123
o4Iv7k0aQoc,4979442,107524,0,2821
Dj5Y5VwhfHs,1148775,29430,0,1057
xdOSi8E3FT0,276201,8344,0,310
ajNYTJcF6rE,7161325,210211,0,21934
RBRQ8vR93_s,639597,19939,0,800
avjI3_GIZBw,7001236,260094,0,3906
alS4uvugr_Y,50329,996,0,29
jmh3iruf4RA,10585850,252075,0,6146
3hYxLywvjms,141265,1903,0,129
x26X-N81wY0,196443,4820,0,237
_Y-X9CpSiQ0,229492,7579,0,299
WyXFfKYbtQU,1817157,58172,0,1795
r5rCcKj84JU,93154,5940,0,364
fj3tpPKUFaA,162129,3621,0,197
lXd4EmgFozI,236119,5337,0,230
pSUgrhmtXIw,1609544,40699,0,1807
YujVj11_s_U,25195,410,0,16
wzlZ68ts-IU,1124932,40931,0,1697
Xn5wfH_erZ0,277479,8261,0,425
JtCB7vy1q2E,1379264,60062,0,2615
lCQAgRoVMCo,414778,10927,0,405
MQjo5pxpC88,214224,7527,0,217
61q6JoGLTc0,188117,4751,0,428
1acyepjN0OE,505147,14334,0,414
Cx8AaSvH4EQ,1168855,55232,0,2096
pRERgcQe-fQ,8109986,199693,0,9636
qj_LkwXiAoM,305124,6929,0,257
RcINbc0ye-o,994691,42264,0,1364
P_yPDiMN3uk,2777764,43582,0,6569
katFc63bWRs,48382,895,0,58
33X5kL-xbFA,34801,837,0,47
5WG_-0Qh3kc,1036397,28016,0,1977
EqxxXSDBp1Y,49002,873,0,37
FftvVi42U4o,2039102,46162,0,1748
7EAM4pxxL4Y,2753270,99767,0,4894
JmnZHQNN5cc,3978252,118705,0,4175
RxhleZbLF64,1539874,38121,0,2048
A3ThZptD8WY,473995,10858,0,312
L_BHC2l30pY,16576621,316294,0,10878
AynDvSkZ8og,2385569,62741,0,1765
LwDRLLPuOA4,630418,29303,0,2164
AFgWCQZDoCI,3578104,85063,0,1759
-xGuSjsgZP4,0,0,0,0
CbotsXwCbNE,9455704,136789,0,5908
gzZhf4ct50Y,3414343,198442,0,9709
k0zSUBzIWhc,281311,7251,0,298
NsboEMB5DzI,24484,391,0,26
pnISpahN2dM,2212559,88431,0,2883
bRq66Rtwms0,359116,12490,0,431
oIeqO2tyhcY,1615441,74149,0,4207
v-nHyMFnSmI,146488,1809,0,108
xkWdU-WeGFw,252441,7236,0,225
jjA7vj3_Htk,660753,17583,0,3065
Bm5anO_Yd2s,123264,1821,0,84
Rmg040Su5R8,1134154,20947,0,1347
oCcks-fwq2c,25358963,439861,0,14461
Lti5hj6dyPc,787175,18990,0,1009
CUN8pdgA0m8,6629915,152451,0,7355
O0sUBp7ps8k,225174,5799,0,301
bSFTjkpPFB8,22790,381,0,40
ILOnnEW2iRg,530497,17636,0,670
QAjUrh-p8fw,57930,1115,0,46
ptMLdzijCrc,130070,2622,0,134
LJdWpAFutYM,2270417,37354,0,1142
tUApO77uUUk,8333957,208103,0,8016
YiBVIG9n-d8,238433,5470,0,408
6CNFF0Ql0ME,1482104,33418,0,2081
-XppUz4SkLk,477363,13496,0,559
btiE3ASfUUE,1562235,51054,0,1829
1hMxG92KTGE,197988,3890,0,356
m9jHZ_pa2PM,159685,4186,0,311
_QJy4Rv5-AQ,17940,267,0,11
KUm6f0QJ_FI,498067,15400,0,544
kes2P4IC2bQ,10185950,302391,0,30990
lW2cUz9Gz94,341383,12812,0,597
jhWkvi8OPkc,102248,1728,0,131
C47H4mOq6Ho,920297,28594,0,1160
gGyP2VGUQMY,616555,30779,0,992
kjJnal0XtN8,297574,13445,0,684
1tKE6A3uA64,342408,12631,0,635
nmBxJ2VcUk0,4274385,100932,0,7547
3eHc0Xz_Hio,8905548,196661,0,14966
SfMDMc7MB0Q,35656,447,0,12
J3jUEB7qmt8,5430813,126975,0,9130
1Wg2huulil4,880925,22374,0,747
1Gq9pbeT2zM,59343,289,0,11
G0ljnXV-q40,2599520,70808,0,1775
6PgYuit1BXw,241996,4745,0,262
YA6D6WmclMc,1021850,39229,0,2218
RF2VAov5Iw8,14298,164,0,13
6bALUVyGZh0,167405,3310,0,196
ZRThiGArHxQ,197170,3106,0,179
arH_BO1VrAE,28029,504,0,80
e4WrRKSgGI0,5909601,96305,0,2339
Q_TManc7sc8,119853,4000,0,225
D8UWsFMVj_Q,8605497,164439,0,7072
z6QNNxCf-3s,212300,4608,0,161
fdM2SbsLe54,24622,339,0,30
9XdyhyFKjok,20951,236,0,44
msdmQDNxsfw,800380,23861,0,1227
UeyjqaWUdeY,23876,253,0,23
1gDt3YlTVoA,24636,267,0,58
r_PNkXFdTog,141483,2720,0,133
8IcrlAYyA_o,380855,10254,0,364
oy-4I58Dru0,1151293,38912,0,1240
G_2_UqH97wc,12609,154,0,3
Tu_PRf1tyjI,137916,3127,0,286
vN7a3xGB0C0,90343,1179,0,48
dKdCM9CjoJc,20399,347,0,26
FCjsmZlwSzA,105306,2066,0,109
kBbmVbbLV0g,23660,317,0,12
bpsrDSyxMgA,57654,604,0,47
DL1zyUjzwno,4429385,146839,0,3494
4iQmPv_dTI0,13201630,252851,0,9284
BvsPwwphxrg,906451,36353,0,2833
1EiWhQgtH98,22380,431,0,41
0kKct_AKz8s,171188,3658,0,223
klL7nY1HzaY,2484742,96095,0,9903
